,genre
1365, mexican traditional
1366, classical organ
1367, classical flute
1368, fallen angel
1369, skiffle
1370, sunset lounge
1371, organic ambient
1372, bangla
1373, belorush
1374, deep indie rock
1375, traditional reggae
1376, spytrack
1377, early music ensemble
1378, polka
1379, deep freestyle
1380, neo soul-jazz
1381, deep progressive house
1382, contemporary classical
1383, electroacoustic improvisation
1384, traditional rockabilly
1385, halloween
1386, clarinet
1387, deep jazz piano
1388, deep jazz fusion
1389, indian rock
1390, deep downtempo fusion
1391, crossover prog
1392, deep classic garage rock
1393, experimental dubstep
1394, dubstep product
1395, football
1396, glitch beats
1397, skinhead oi
1398, polish jazz
1399, villancicos
1400, deep chill-out
1401, deep g funk
1402, classic psychedelic rock
1403, punk ska
1404, deep filthstep
1405, deep nordic folk
1406, skweee
1407, deep northern soul
1408, deep pop emo
1409, deep hardcore
1410, goa trance
1411, deep surf music
1412, klapa
1413, baroque ensemble
1414, gamelan
1415, deep swedish rock
1416, deep thrash metal
1417, deep italo disco
1418, hatecore
1419, demoscene
1420, raw black metal
1421, hard stoner rock
1422, norwegian punk
1423, slovenian rock
1424, wrock
1425, dark progressive house
1426, accordeon
1427, re:techno
1428, ambient dub techno
1429, neo honky tonk
1430, maghreb
1431, charred death
1432, chill groove
1433, breaks
1434, kc indie
1435, modern downshift
1436, vintage swing
1437, guitar case
1438, tibetan
1439, deep punk rock
1440, noise
1441, deep free jazz
1442, deep motown
1443, j-punk
1444, tanzlmusi
1445, italo beats
1446, glitter trance
1447, malagasy folk
1448, lowercase
1449, chill-out trance
1450, new jack smooth
1451, deep nz indie
1452, twin cities indie
1453, deep eurodance
1454, deep power-pop punk
1455, grim death metal
1456, alternative hardcore
1457, deep dub techno
1458, j-poppunk
1459, deep space rock
1460, deep cello
1461, vintage rockabilly
1462, chinese experimental
1463, terrorcore
1464, zeuhl
1465, doomcore
1466, chinese opera
1467, indie emo rock
1468, french folk
1469, jangle rock
1470, german street punk
1471, nu electro
1472, deep hardcore punk
1473, rhythm and boogie
1474, alternative metalcore
1475, ceilidh
1476, bulgarian folk
1477, modern free jazz
1478, thai indie
1479, deep neo-synthpop
1480, heavy gothic rock
1481, ghoststep
1482, jazz composition
1483, cryptic black metal
1484, deep classical piano
1485, ethereal gothic
1486, deep orgcore
1487, vintage schlager
1488, swedish jazz orkester
1489, song poem
1490, vintage country folk
1491, gothic doom
1492, vintage gospel
1493, chip hop
1494, deep delta blues
1495, deep german jazz
1496, twee indie pop
1497, dark electro-industrial
1498, neo-traditional country
1499, cinematic dubstep
1500, deep symphonic black metal
1501, saxophone
1502, deep breakcore
1503, anime cv
1504, caucasian folk
1505, necrogrind
1506, deep latin jazz
1507, smooth urban r&b
1508, vintage swoon
1509, central asian folk
1510, vintage reggae
1511, drone psych
1512, deep deep tech house
1513, vintage western
1514, rock noise
1515, deep string quartet
